Year,#of majors,Female,Chemistry,female,mathBS,female,CS,female,BioBS,female,Biochem,female,#of minors,FT faculty,Number of Sections,,Ave Sect Size,,,
#,2012 and on are measured in spring, 2011 and before are measured in Fall - ugh!, correcting numbers according to spring 2018 FB,,,,,,,,,,,,,,FT,PT,FT ,PT
# ,Updating 11/2021 using Fall 2020 factbook,"combining phys,appl phy, comp sci",other depts not updated past 2018,,,,,,,,,,,,,,,,,
1997,4,1,35,16,23,12,115,26,262,165,0,0,,,,,,,,
1998,10,0,38,16,18,10,124,30,258,170,0,0,,,,,,,,
1999,18,2,22,9,24,14,125,26,265,178,0,0,,,,,,,,
2000,25,3,20,11,27,17,139,32,229,151,4,1,,,,,,,,
2001,19,2,23,14,30,19,139,32,229,151,18,10,,,,,,,,
2002,13,2,28,17,37,22,133,35,243,156,24,16,,,,,,,,
2003,15,0,22,12,29,20,102,22,257,175,24,15,,,,,,,,
2004,20,1,23,12,28,16,98,16,276,181,22,13,,,,,,,,
2005,21,2,30,13,37,23,79,16,292,199,29,17,,,,,,,,
2006,18,2,27,13,30,19,59,10,256,175,38,23,,,,,,,,
2007,27,10,35,17,36,25,50,10,240,166,41,26,,,,,,,,
2008,41,11,49,26,36,22,53,14,250,173,48,30,,,14,4,20.57,21.5,,
2009,42,14,40,17,27,16,56,9,249,173,46,30,,,12,6,22.25,24.33,,
2010,54,21,44,21,32,17,57,11,249,164,55,30,,,14,4,22,22,,
2011,45,18,34,17,29,12,81,19,248,159,66,32,,,,,,,,
2012,37,13,34,17,20,14,81,19,248,159,66,32,,,,,,,,
2013,55,22,29,12,29,20,83,20,268,177,57,28,,,,,,,,
2014,65,19,29,14,40,29,89,17,259,170,48,25,,,,,,,,
2015,91,30,36,18,38,26,108,16,271,177,39,21,,,,,,,,
2016,93,37,35,20,42,24,128,27,253,170,38,22,,,,,,,,
2017,86,33,39,22,26,19,148,31,228,153,42,20,,,,,,,,
2018,95,35,39,29,21,8,133,27,219,155,48,26,,,,,,,,
2019,88,27,0,0,0,0,0,0,0,0,0,0,,,,,,,,
2020,80,26,0,0,0,0,0,0,0,0,0,0,,,,,,,,
